id	isolate	aliases	country	continent	region	state	species	year	source	detailed_source	collector	location	comments	bioproject_accession	biosample_accession	NCBI_assembly_accession	run_accession	sender	curator	date_entered	datestamp	BORR05565	clpA	clpX	nifS	pepX	pyrG	recG	rplB	uvrA	ST (MLST)
1234	MC117		USA	North America	Midwestern United States	Wisconsin	Borrelia burgdorferi sensu stricto	1999	human	EM	Marshfield Clinic, WI							4	2	2015-01-29	2015-01-29		25	3	3	3	3	21	6	2	232
1235	MC118		USA	North America	Midwestern United States	Wisconsin	Borrelia burgdorferi sensu stricto	1999	human	EM	Marshfield Clinic, WI							4	2	2015-01-29	2015-01-29		25	3	3	3	3	21	6	2	232
1236	MC144		USA	North America	Midwestern United States	Wisconsin	Borrelia burgdorferi sensu stricto	2002	human	EM	Marshfield Clinic, WI							4	2	2015-01-29	2015-01-29		25	4	3	3	3	21	6	2	233
1237	MC146		USA	North America	Midwestern United States	Wisconsin	Borrelia burgdorferi sensu stricto	2002	human	EM	Marshfield Clinic, WI							4	2	2015-01-29	2015-01-29		25	4	3	3	3	21	6	2	233
1238	MC126		USA	North America	Midwestern United States	Wisconsin	Borrelia burgdorferi sensu stricto	2000	human	EM	Marshfield Clinic, WI							4	2	2015-01-29	2015-01-29		104	1	1	2	2	15	4	10	234
1239	MC76		USA	North America	Midwestern United States	Wisconsin	Borrelia burgdorferi sensu stricto	1996	human	EM	Marshfield Clinic, WI							4	2	2015-01-29	2015-01-29		104	1	1	2	2	15	4	10	234
1240	MC81		USA	North America	Midwestern United States	Wisconsin	Borrelia burgdorferi sensu stricto	1996	human	EM	Marshfield Clinic, WI							4	2	2015-01-29	2015-01-29		104	1	1	2	2	15	4	10	234
1241	MC86		USA	North America	Midwestern United States	Wisconsin	Borrelia burgdorferi sensu stricto	1996	human	EM	Marshfield Clinic, WI							4	2	2015-01-29	2015-01-29		104	1	1	2	2	15	4	10	234
1242	MC87		USA	North America	Midwestern United States	Wisconsin	Borrelia burgdorferi sensu stricto	1996	human	EM	Marshfield Clinic, WI							4	2	2015-01-29	2015-01-29		104	1	1	2	2	15	4	10	234
1243	MC99		USA	North America	Midwestern United States	Wisconsin	Borrelia burgdorferi sensu stricto	1998	human	EM	Marshfield Clinic, WI							4	2	2015-01-29	2015-01-29		104	1	1	2	2	15	4	10	234
1244	MC109		USA	North America	Midwestern United States	Wisconsin	Borrelia burgdorferi sensu stricto	1998	human	EM	Marshfield Clinic, WI							4	2	2015-01-29	2015-01-29		105	2	2	2	1	8	1	2	235
1245	MC103		USA	North America	Midwestern United States	Wisconsin	Borrelia burgdorferi sensu stricto	1998	human	EM	Marshfield Clinic, WI							4	2	2015-01-29	2015-01-29		106	12	1	1	2	6	1	2	236
1246	MC100		USA	North America	Midwestern United States	Wisconsin	Borrelia burgdorferi sensu stricto	1998	human	EM	Marshfield Clinic, WI							4	2	2015-01-29	2015-01-29		107	2	1	95	2	18	4	3	237
1247	MC102		USA	North America	Midwestern United States	Wisconsin	Borrelia burgdorferi sensu stricto	1998	human	EM	Marshfield Clinic, WI							4	2	2015-01-29	2015-01-29		5	5	4	114	1	15	1	6	302
1248	MC108		USA	North America	Midwestern United States	Wisconsin	Borrelia burgdorferi sensu stricto	1998	human	EM	Marshfield Clinic, WI							4	2	2015-01-29	2015-01-29		19	1	5	1	2	1	1	10	30
1249	232/13b		Serbia	Europe	Belgrade area-Avala		Borrelia afzelii	2013	tick	Ixodes ricinus	S. Tomanovic/S. Cakic	44.693252, 20.506711						30	2	2015-03-16	2015-03-16		109	94	24	34	21	29	99	28	335
1250	233/13b		Serbia	Europe	Belgrade area-Avala		Borrelia lusitaniae	2013	tick	Ixodes ricinus	S. Tomanovic/S. Cakic	44.693252, 20.506711						30	2	2015-03-16	2015-03-16		101	52	94	27	18	118	74	27	148
1251	235/13cd		Serbia	Europe	Central Serbia-Kosmaj-Babe		Borrelia afzelii	2013	tick	Ixodes ricinus	S. Tomanovic/S. Cakic	44.534941, 20.532612						30	2	2015-03-16	2015-03-16		109	94	24	34	21	29	99	28	335
1252	221/10c		Serbia	Europe	Belgrade area-Titov gaj		Borrelia lusitaniae	2013	tick	Ixodes ricinus	S. Tomanovic/S. Cakic	44.748645, 20.534786						30	2	2015-03-16	2015-03-16		101	56	94	12	18	25	74	27	153
1253	225/10a		Serbia	Europe	Belgrade area-Titov gaj		Borrelia lusitaniae	2013	tick	Ixodes ricinus	S. Tomanovic/S. Cakic	44.748645, 20.534786						30	2	2015-03-16	2015-03-16		189	22	94	161	18	118	74	173	630
1254	228/10a		Serbia	Europe	Belgrade area-Titov gaj		Borrelia lusitaniae	2013	tick	Ixodes ricinus	S. Tomanovic/S. Cakic	44.748645, 20.534786						30	2	2015-03-16	2015-03-16		101	60	147	169	18	186	154	171	194
1255	229/10a		Serbia	Europe	Belgrade area-Kosutnjak		Borrelia lusitaniae	2013	tick	Ixodes ricinus	S. Tomanovic/S. Cakic	44.752399, 20.437684						30	2	2015-03-16	2015-03-16		101	60	20	47	115	186	154	46	209
1256	Tokunoshima-RR12B05		Japan	Asia			Borrelia yangtzensis		animal host	Rattus rattus, Bladder	Ai Takano							21	2	2015-03-18	2015-03-18		77	58	38	50	61	56	51	52	290
1257	Tokunoshima-CW14B05		Japan	Asia			Borrelia yangtzensis		animal host	Crocidura watasei, Bladder	Ai Takano							21	2	2015-03-18	2015-03-18		77	58	38	50	61	56	51	52	290
1258	Tokunoshima-RR16E05		Japan	Asia			Borrelia yangtzensis		animal host	Rattus rattus, Ear	Ai Takano							21	2	2015-03-18	2015-03-18		76	57	57	67	62	62	54	57	637
1259	Okinawa-SM1E05		Japan	Asia			Borrelia yangtzensis		animal host	Suncus murinus, Ear	Ai Takano							21	2	2015-03-18	2015-03-18		80	58	56	55	65	56	53	52	322
1260	Okinawa-MC5B05		Japan	Asia			Borrelia yangtzensis		animal host	Mus caroli, Bladder	Ai Takano							21	2	2015-03-18	2015-03-18		79	62	45	65	67	61	56	56	357
1261	Okinawa-RN6E05		Japan	Asia			Borrelia yangtzensis		animal host	Rattus norvegicus, Ear	Ai Takano							21	2	2015-03-18	2015-03-18		77	58	38	50	70	56	51	52	358
1262	Okinawa-MC8B05		Japan	Asia			Borrelia yangtzensis		animal host	Mus caroli, Bladder	Ai Takano							21	2	2015-03-18	2015-03-18		81	66	59	70	74	62	58	58	360
1263	Okinawa-MC8E05		Japan	Asia			Borrelia yangtzensis		animal host	Mus caroli, Ear	Ai Takano							21	2	2015-03-18	2015-03-18		84	57	59	67	62	65	54	57	361
1264	Okinawa-SM26		Japan	Asia			Borrelia yangtzensis		animal host	Suncus murinus, Ear	Ai Takano							21	2	2015-03-18	2015-03-18		80	58	56	71	66	66	60	61	411
1265	Okinawa-MC41		Japan	Asia			Borrelia yangtzensis		animal host	Mus caroli, Ear	Ai Takano							21	2	2015-03-18	2015-03-18		77	58	38	50	61	56	51	52	290
1266	Okinawa-SM58		Japan	Asia			Borrelia yangtzensis		animal host	Suncus murinus, Ear	Ai Takano							21	2	2015-03-18	2015-04-27		80	58	56	55	65	56	53	52	322
1267	Okinawa-CW59		Japan	Asia			Borrelia yangtzensis		animal host	Crocidura watasei, Ear	Ai Takano							21	2	2015-03-18	2015-03-18		89	90	58	72	181	69	63	60	493
1268	Okinawa-CW60		Japan	Asia			Borrelia yangtzensis		animal host	Crocidura watasei, Ear	Ai Takano							21	2	2015-03-18	2015-03-18		80	58	56	55	65	56	53	52	322
1269	Okinawa-CW61		Japan	Asia			Borrelia yangtzensis		animal host	Crocidura watasei, Ear	Ai Takano							21	2	2015-03-18	2015-03-18		80	58	56	55	65	56	53	52	322
1270	Okinawa-CW62		Japan	Asia			Borrelia yangtzensis		animal host	Crocidura watasei, Ear	Ai Takano							21	2	2015-03-18	2015-03-18		80	58	56	55	65	56	53	52	322
1271	184-8		Japan	Asia			Borrelia yangtzensis		tick	Ixodes granulatus	Ai Takano							21	2	2015-03-18	2015-03-18		100	98	61	75	182	71	67	56	632
1272	066-5		Japan	Asia			Borrelia yangtzensis		tick	Ixodes granulatus	Ai Takano							21	2	2015-03-18	2015-03-18		81	66	59	70	74	62	58	58	360
1273	210-1		Japan	Asia			Borrelia yangtzensis		tick	Ixodes granulatus	Ai Takano							21	2	2015-03-18	2015-03-18		77	58	38	50	70	56	51	52	358
1274	210-6		Japan	Asia			Borrelia yangtzensis		tick	Ixodes granulatus	Ai Takano							21	2	2015-03-18	2015-03-18		79	62	45	65	67	61	56	56	357
1275	HT31		Japan	Asia			Borrelia miyamotoi		tick	Ixodes persulcatus								21	2	2015-03-18	2015-03-18		199	112	63	78	183	190	159	63	633
1276	MYK1		Japan	Asia			Borrelia miyamotoi		tick	Ixodes pavlovskyi								21	2	2015-03-18	2015-03-18		199	112	63	78	183	190	159	63	633
1277	CA446		USA	North America	Mendocino County	California	Borrelia californiensis		animal host	Dipodomys californicus, male, ear punch	Kerry A. Padgett		type strain of Borrelia californiensis					17	2	2015-03-18	2015-08-31		174	139	125	152	157	157	134	148	447
1278	M1029		USA	North America		Connecticut	Borrelia miyamotoi		tick	Ixodes scapularis larvae via transfer to SCID mouse	Durland Fish		in vitro cultured strain obtained from SCID mouse					2	2	2015-03-23	2015-10-22		200	117	151	173	184	191	160	70	634
1279	EU_T01		Germany	Europe	Berlin		Borrelia miyamotoi	2014	tick	Ixodes ricinus	Hans Dautel							2	2	2015-03-23	2015-10-22		201	167	152	174	185	192	161	66	635
1280	No12		Uzbekistan	Asia			Borrelia persica		tick	Ornithodoros papillipes			data extracted from GenBank AYOT01000225.1					2	2	2015-03-31	2015-03-31		202	168	153	175	186	193	162	177	636
1281	LMU-C01		Israel	Asia			Borrelia persica	2004	animal host	Felis silvestris catus	Gad Baneth		Strain and Sequenzdata were provided by Prof. R. Straubingen and Sandra Schwarzer, LMU Munich, Germany					2	2	2015-03-31	2015-03-31		203	169		176	187	193	162	178	
1282	LMU-T01		Israel	Asia			Borrelia persica	2004	tick	Ornithodorus tholozani	Gad Baneth		Sequenzdata were provided by Prof. R. Straubinger and Sandra Schwarzer, LMU, Munich, Germany					2	2	2015-03-31	2015-03-31		204	170		176	187	193	162	179	
1283	PoTiBtur10	T1990A	Portugal	Europe	Coimbra		Borrelia turdi	2014	tick	Ixodes frontalis nymph	A.C. Norte	40.22, -8.45						39	2	2015-06-10	2024-01-23		328	171	154	177	188	194	163	180	768
1284	PoTiBtur11	T2054A	Portugal	Europe	Coimbra		Borrelia turdi	2014	tick	Ixodes ricinus nymph	A.C. Norte	40.22, -8.46						39	2	2015-06-10	2015-06-12			172	154	178	189	195	163	181	
1285	PoTiBtur12	T2073Ab	Portugal	Europe	Coimbra		Borrelia turdi	2014	tick	Ixodes frontalis nymph	L.P. da Silva	40.31, -8.4						39	2	2015-06-10	2018-01-25		180	172	155	178	189	196	164	180	769
1286	PoTiBtur13	T2087A	Portugal	Europe	Coimbra		Borrelia turdi	2014	tick	Ixodes frontalis larva	A.C. Norte	40.22, -8.46						39	2	2015-06-10	2015-06-12			172	155	178	189	196	164	181	
1287	AV539		USA	North America	Ventura County	California	Borrelia bissettiae	2013	tick	Ixodes pacificus	CADPH	34.286955, -119.226367						40	2	2015-09-18	2015-09-18		120	69	156	179	190	74	83	73	457
1288	Mng702		Mongolia	Asia	Selenge Aimag		Borrelia afzelii	2002	tick	Ixodes sp	Bataa J.; Ambed D.							41	2	2015-11-02	2015-11-02		36	135	23	180	191	153	23	143	646
1289	Mng3602		Mongolia	Asia	Selenge Aimag		Borrelia afzelii	2002	tick	Ixodes sp	Bataa J.; Ambed D.							41	2	2015-11-02	2015-11-02		205	135	23	181	44	155	23	142	647
1290	Mng6702		Mongolia	Asia	Selenge Aimag		Borrelia afzelii	2002	tick	Ixodes sp	Bataa J.; Ambed D.							41	2	2015-11-02	2015-11-02		206	174	23	182	44	153	23	143	648
1291	Tom3401		Russia [Asia]	Asia	Tomsk Region		Borrelia afzelii	2001	tick	Ixodes sp.	Stronin O.							41	2	2015-11-02	2022-11-15		36	24	23	141	150	30	23	142	432
1292	Tom603		Russia [Asia]	Asia	Tomsk Region		Borrelia afzelii	2003	tick	Ixodes sp.	Stronin O.							41	2	2015-11-02	2022-11-15		35	24	23	49	44	32	23	28	649
1293	Tom703		Russia [Asia]	Asia	Tomsk Region		Borrelia afzelii	2003	tick	Ixodes sp.	Stronin O.							41	2	2015-11-02	2022-11-15		36	135	157	32	44	155	23	143	650
1294	Tom1103		Russia [Asia]	Asia	Tomsk Region		Borrelia afzelii	2003	tick	Ixodes sp.	Stronin O.							41	2	2015-11-02	2022-11-15		51	24	23	86	96	29	23	28	651
1295	Tom1303		Russia [Asia]	Asia	Tomsk Region		Borrelia afzelii	2003	tick	Ixodes sp.	Stronin O.							41	2	2015-11-02	2022-11-15		36	135	39	32	44	154	23	142	652
1296	Tom1503		Russia [Asia]	Asia	Tomsk Region		Borrelia afzelii	2003	tick	Ixodes sp.	Stronin O.							41	2	2015-11-02	2022-11-15		36	135	23	32	44	155	165	29	653
1297	Tom2303		Russia [Asia]	Asia	Tomsk Region		Borrelia afzelii	2003	tick	Ixodes sp.	Stronin O.							41	2	2015-11-02	2022-11-15		36	135	157	32	44	155	23	143	650
1298	Tom2403		Russia [Asia]	Asia	Tomsk Region		Borrelia afzelii	2003	tick	Ixodes sp.	Stronin O.							41	2	2015-11-02	2022-11-15		35	24	23	49	44	32	23	28	649
1299	Tom2803		Russia [Asia]	Asia	Tomsk Region		Borrelia afzelii	2003	tick	Ixodes sp.	Stronin O.							41	2	2015-11-02	2022-11-15		35	24	23	49	44	32	23	28	649
1300	Tom3103		Russia [Asia]	Asia	Tomsk Region		Borrelia afzelii	2003	tick	Ixodes sp.	Stronin O.							41	2	2015-11-02	2022-11-15		36	135	23	141	44	151	23	142	654
1301	MC106		USA	North America	Midwestern United States	Wisconsin	Borrelia burgdorferi sensu stricto	1998	human	EM	Marshfield Clinic, WI							4	2	2015-01-29	2015-01-29		137	3	6	4	3	4	4	4	409
1302	MC137		USA	North America	Midwestern United States	Wisconsin	Borrelia burgdorferi sensu stricto	2001	human	EM	Marshfield Clinic, WI							4	2	2015-01-29	2015-01-29		4	4	3	3	3	21	6	104	410
1303	MC138		USA	North America	Midwestern United States	Wisconsin	Borrelia burgdorferi sensu stricto	2001	human	EM	Marshfield Clinic, WI							4	2	2015-01-29	2015-01-29		4	4	4	3	3	21	6	104	359
1304	MC147		USA	North America	Midwestern United States	Wisconsin	Borrelia burgdorferi sensu stricto	2002	human	EM	Marshfield Clinic, WI							4	2	2015-01-29	2015-01-29		3	1	15	94	2	20	96	10	412
1305	MC148		USA	North America	Midwestern United States	Wisconsin	Borrelia burgdorferi sensu stricto	2002	human	EM	Marshfield Clinic, WI							4	2	2015-01-29	2015-01-29		23	1	17	20	2	1	1	7	413
1306	SV1		Finland	Europe			Borrelia burgdorferi sensu stricto		unknown									38	2	2015-01-29	2015-01-29		161	8	10	10	9	137	7	129	414
1307	enkichi 9		China	Asia	Yanji, Jilin		Borrelia bavariensis	2011	tick	Ixodes persulcatus	N. Takada							21	2	2015-01-29	2015-01-29		60	45	64	54	50	46	41	45	122
1308	enkichi 17		China	Asia	Yanji, Jilin		Borrelia afzelii	2011	tick	Ixodes persulcatus	N. Takada							21	2	2015-01-29	2015-01-29		162	40	115	141	44	138	23	28	415
1309	enkichi 22		China	Asia	Yanji, Jilin		Borrelia bavariensis	2011	tick	Ixodes persulcatus	N. Takada							21	2	2015-01-29	2015-01-29		56	42	41	51	47	46	38	42	128
1310	enkichi 25		China	Asia	Yanji, Jilin		Borrelia afzelii	2011	tick	Ixodes persulcatus	N. Takada							21	2	2015-01-29	2015-01-29		35	41	23	49	43	27	119	28	416
1311	enkichi 30		China	Asia	Yanji, Jilin		Borrelia bavariensis	2011	tick	Ixodes persulcatus	N. Takada							21	2	2015-01-29	2015-01-29		60	45	44	54	50	49	41	130	417
1312	enkichi 31		China	Asia	Yanji, Jilin		Borrelia bavariensis	2011	tick	Ixodes persulcatus	N. Takada							21	2	2015-01-29	2015-01-29		60	45	44	54	50	49	41	130	417
1313	enkichi 32		China	Asia	Yanji, Jilin		Borrelia bavariensis	2011	tick	Ixodes persulcatus	N. Takada							21	2	2015-01-29	2015-01-29		72	68	66	64	60	59	52	55	125
1314	enkichi 33		China	Asia	Yanji, Jilin		Borrelia bavariensis	2011	tick	Ixodes persulcatus	N. Takada							21	2	2015-01-29	2015-01-29		60	45	44	54	50	49	41	45	131
1315	enkichi 50		China	Asia	Yanji, Jilin		Borrelia afzelii	2011	tick	Ixodes persulcatus	N. Takada							21	2	2015-01-29	2015-01-29		35	24	23	49	44	27	23	28	106
1316	meman As 11		Japan	Asia	Memanbetsu, Hokkaido		Borrelia bavariensis	2011	animal host	Apodemus speciosus	H. Kawabata							21	2	2015-01-29	2015-01-29		60	45	44	54	50	49	41	45	131
1317	meman As 13		Japan	Asia	Memanbetsu, Hokkaido		Borrelia afzelii	2011	animal host	Apodemus speciosus	H. Kawabata							21	2	2015-01-29	2015-01-29		163	123	116	49	44	139	120	131	418
1318	Mr 17		Japan	Asia	Wakkanai, Hokkaido		Borrelia bavariensis	2011	animal host	Myodes rufocanus subsp. bedfordiae	H. Kawabata							21	2	2015-01-29	2015-01-29		60	45	44	54	50	49	41	45	131
1319	kaminae Ip 1		Japan	Asia	Wakkanai, Hokkaido		Borrelia bavariensis	2011	tick	Ixodes persulcatus	H. Kawabata							21	2	2015-01-29	2015-01-29		154	109	110	80	76	72	68	71	387
1320	tonbetsu Io 7		Japan	Asia	Tonbetsu, Hokkaido		Borrelia japonica	2011	tick	Ixodes ovatus	H. Kawabata							21	2	2015-01-29	2015-01-29		164	124	117	142	140	140	121	132	419
1321	rebun 8		Japan	Asia	Rebun Island, Hokkaido		Borrelia bavariensis	2011	tick	Ixodes persulcatus	H. Kawabata							21	2	2015-01-29	2015-01-29		60	45	44	54	50	49	41	45	131
1322	rebun 9		Japan	Asia	Rebun Island, Hokkaido		Borrelia bavariensis	2011	tick	Ixodes persulcatus	H. Kawabata							21	2	2015-01-29	2015-01-29		60	45	44	54	50	49	41	45	131
1323	rebun 20		Japan	Asia	Rebun Island, Hokkaido		Borrelia garinii	2011	tick	Ixodes persulcatus	H. Kawabata							21	2	2015-01-29	2015-01-29		40	130	49	36	141	141	122	49	427
1324	horobetsu 5		Japan	Asia	Horobetsu, Hokkaido		Borrelia bavariensis	2011	tick	Ixodes persulcatus	H. Kawabata							21	2	2015-01-29	2015-01-29		144	103	43	130	128	127	110	111	376
1325	horobetsu 8		Japan	Asia	Horobetsu, Hokkaido		Borrelia bavariensis	2011	tick	Ixodes persulcatus	H. Kawabata							21	2	2015-01-29	2015-01-29		60	45	44	54	50	49	41	45	131
1326	sarufutsu 2		Japan	Asia	Sarufutsu, Hokkaido		Borrelia bavariensis	2011	tick	Ixodes persulcatus	H. Kawabata							21	2	2015-01-29	2015-01-29		145	68	66	64	60	59	52	55	375
1327	sarufutsu 3		Japan	Asia	Sarufutsu, Hokkaido		Borrelia bavariensis	2011	tick	Ixodes persulcatus	H. Kawabata							21	2	2015-01-29	2015-01-29		145	68	66	64	60	59	52	55	375
1328	konnai 1		Japan	Asia	Hokkaido		Borrelia garinii	2011	tick	Ixodes persulcatus	S. Konnai							21	2	2015-01-29	2015-01-29		165	125	118	143	142	142	123	133	420
1329	konnai 2		Japan	Asia	Hokkaido		Borrelia garinii	2011	tick	Ixodes persulcatus	S. Konnai							21	2	2015-01-29	2015-01-29		165	125	118	143	142	142	123	133	420
1330	konnai 3		Japan	Asia	Hokkaido		Borrelia afzelii	2011	tick	Ixodes persulcatus	S. Konnai							21	2	2015-01-29	2015-01-29		53	24	119	144	44	27	124	134	421
1331	konnai 8		Japan	Asia	Hokkaido		Borrelia afzelii	2011	tick	Ixodes persulcatus	S. Konnai							21	2	2015-01-29	2015-01-29		36	126	23	49	43	27	23	28	422
1332	konnai 10		Japan	Asia	Hokkaido		Borrelia garinii	2011	tick	Ixodes persulcatus	S. Konnai							21	2	2015-01-29	2015-01-29		165	125	118	143	142	142	123	133	420
1333	konnai 14		Japan	Asia	Hokkaido		Borrelia bavariensis	2011	tick	Ixodes persulcatus	S. Konnai							21	2	2015-01-29	2015-01-29		166	127	52	53	143	143	125	135	423
1334	konnai 15 clone5		Japan	Asia	Hokkaido		Borrelia garinii	2011	tick	Ixodes persulcatus	S. Konnai							21	2	2015-01-29	2015-01-29		167	131	120	145	144	144	126	136	428
1335	konnai 17 clone1		Japan	Asia	Hokkaido		Borrelia bavariensis	2011	tick	Ixodes persulcatus	S. Konnai							21	2	2015-01-29	2015-01-29		60	45	44	54	50	49	41	45	131
1336	konnai 17 clone3		Japan	Asia	Hokkaido		Borrelia afzelii	2011	tick	Ixodes persulcatus	S. Konnai							21	2	2015-01-29	2015-01-29		35	24	23	48	44	27	23	137	424
1337	konnai 20		Japan	Asia	Hokkaido		Borrelia garinii	2011	tick	Ixodes persulcatus	S. Konnai							21	2	2015-01-29	2015-01-29		149	118	108	133	134	131	106	118	384
1338	konnai 25		Japan	Asia	Hokkaido		Borrelia bavariensis	2011	tick	Ixodes persulcatus	S. Konnai							21	2	2015-01-29	2015-01-29		145	68	66	64	60	59	52	55	375
1339	konnai 26		Japan	Asia	Hokkaido		Borrelia garinii	2011	tick	Ixodes persulcatus	S. Konnai							21	2	2015-01-29	2015-01-29		140	132	101	36	145	145	127	138	429
1340	takamine As 5		Japan	Asia	Mt. Asama, Nagano		Borrelia bavariensis	2011	animal host	Apodemus speciosus	N. Takada							21	2	2015-01-29	2015-01-29		168	128	121	146	146	146	128	139	425
1341	myogi As 11		Japan	Asia	Karuizawa, Nagano		Borrelia japonica	2011	animal host	Apodemus speciosus	N. Takada							21	2	2015-01-29	2015-01-29		169	129	122	147	147	147	129	132	426
1342	EU6-4		Germany	Europe			Borrelia afzelii	2011	tick	Ixodes ricinus	N. Takada							21	2	2015-01-29	2015-01-29		37	24	24	31	22	29	23	28	263
1343	EU7-6		Germany	Europe			Borrelia garinii	2011	tick	Ixodes ricinus	N. Takada							21	2	2015-01-29	2015-01-29		48	34	34	44	37	42	33	39	244
1344	EU9-13		The Netherlands	Europe			Borrelia valaisiana	2011	tick	Ixodes ricinus	N. Takada							21	2	2015-01-29	2015-01-29		50	35	37	45	38	44	35	40	199
1345	EU9-22		The Netherlands	Europe			Borrelia garinii	2011	tick	Ixodes ricinus	N. Takada							21	2	2015-01-29	2015-01-29		112	80	78	99	81	39	79	87	246
1346	WHE 69		USA	North America	Emandal	California	Borrelia burgdorferi sensu stricto	2004	tick	Ixodes pacificus		39.491389389, -123.17882858						17	2	2015-01-29	2015-01-29		159	122	113	139	138	136	4	124	398
1347	HOPN87		USA	North America	Nelson	California	Borrelia burgdorferi sensu stricto	2004	tick	Ixodes pacificus		39.059567465, -123.145663366						17	2	2015-01-29	2015-01-29		159	122	113	139	138	136	4	124	398
1348	MNR1		USA	North America	Azzaro	California	Borrelia burgdorferi sensu stricto	2004	tick	Ixodes pacificus		39.04388445, -123.199690916						17	2	2015-01-29	2015-01-29		160	122	113	139	138	136	4	124	399
1349	MWSRG4		USA	North America	Montgomery Woods Grove	California	Borrelia burgdorferi sensu stricto	2004	tick	Ixodes pacificus		39.231140968, -123.39272968						17	2	2015-01-29	2015-01-29		8	1	1	8	1	18	1	125	400
